 ,,,,,,,,,

Row Labels,Sum of windSpeedMean-H01,Sum of windSpeedMinimumH01,Sum of windSpeedMaximum-H01,Sum of windSpeedMean-H02,Sum of windSpeedMaximum-H02,Sum of windSpeedMinimum-H02,Sum of windSpeedMaximum-H03,Sum of windSpeedMinimum-H03,Sum of windSpeedMean -H3
2021-07-02T01:30:00Z,2.33,1.08,4.07,3.46,5.4,1.27,5.4,0.85,3.62
2021-07-02T02:00:00Z,2.37,0.99,4.11,3.44,5.11,1.39,5.41,1.24,3.64
2021-07-02T02:30:00Z,2.39,0.99,4.3,3.57,5.69,1.66,5.55,1.47,3.82
2021-07-02T03:00:00Z,2.32,1.14,3.95,3.44,5.17,1.81,5.38,2.11,3.71
2021-07-02T03:30:00Z,2.23,1.06,3.92,3.34,4.95,1.37,5.16,1.71,3.61
2021-07-02T04:00:00Z,2.31,1.15,3.88,3.49,5.2,1.72,5.41,2.04,3.79
2021-07-02T04:30:00Z,2.37,1.27,4.69,3.51,5.49,1.99,5.62,2.16,3.79
2021-07-02T05:00:00Z,2.38,1.24,4.02,3.52,5.11,1.99,5.68,1.99,3.83
2021-07-02T05:30:00Z,2.48,1.25,3.97,3.75,5.17,2.2,5.17,2.49,4.05
2021-07-02T06:00:00Z,2.4,1.35,3.85,3.65,5.11,2.1,5.19,2.23,3.99
2021-07-02T06:30:00Z,2.39,1.19,3.97,3.61,4.95,1.79,5.14,2.06,3.94
2021-07-02T07:00:00Z,2.37,1.26,3.97,3.66,5.47,1.89,5.65,2.46,4.08
2021-07-02T07:30:00Z,2.13,1.15,3.97,3.4,4.98,1.67,5.34,1.98,3.82
2021-07-02T08:00:00Z,2.16,1.02,3.76,3.38,4.82,1.97,5.05,2.24,3.76
2021-07-02T08:30:00Z,1.9,0.9,3.04,3.03,4.58,1.76,4.54,1.94,3.37
2021-07-02T09:00:00Z,1.76,0.74,2.99,2.85,4.07,1.65,4.3,1.9,3.18
2021-07-02T09:30:00Z,1.88,0.94,3.26,3.03,4.26,1.74,4.59,1.86,3.36
2021-07-02T10:00:00Z,1.91,0.94,3.28,3.07,4.52,1.45,4.96,1.86,3.45
2021-07-02T10:30:00Z,1.84,0.8,3.22,2.96,4.32,1.44,4.59,1.96,3.27
2021-07-02T11:00:00Z,2.03,1.02,3.45,3.21,4.99,1.62,5.2,1.72,3.57
2021-07-02T11:30:00Z,2.11,0.96,3.77,3.4,5.15,1.77,5.5,2.4,3.82
2021-07-02T12:00:00Z,2.25,0.92,3.91,3.61,5.45,1.8,5.89,2.26,4.07
2021-07-02T12:30:00Z,2.05,1.03,3.76,3.32,5.23,1.8,5.49,2.2,3.75
2021-07-02T13:00:00Z,2.21,1.11,3.81,3.62,5.33,1.75,5.78,2.46,4.13
2021-07-02T13:30:00Z,2.35,1.02,4.06,3.73,5.71,1.83,6.2,2.15,4.15
2021-07-02T14:00:00Z,2.54,1.24,4.68,3.98,5.79,2.28,6.19,2.76,4.47
2021-07-02T14:30:00Z,2.78,1.53,4.65,4.43,6.74,2.59,6.9,3.05,4.95
2021-07-02T15:00:00Z,2.74,1.55,4.6,4.36,6.46,2.4,7.08,2.91,4.89
2021-07-02T15:30:00Z,2.89,1.48,4.89,4.6,6.41,2.61,6.95,2.84,5.15
2021-07-02T16:00:00Z,2.94,1.46,5.9,4.67,6.97,2.52,7.49,2.88,5.2
2021-07-02T16:30:00Z,3.12,1.49,5.43,4.99,7.58,2.76,7.72,3.04,5.58
2021-07-02T17:00:00Z,3.1,1.62,5,5.02,7.59,2.76,7.89,3.17,5.64
2021-07-02T17:30:00Z,3.23,1.41,5.31,5.17,7.45,2.52,7.68,2.9,5.78
2021-07-02T18:00:00Z,3.29,1.58,6.84,5.15,7.74,2.64,7.75,3.38,5.71
2021-07-02T18:30:00Z,3.27,1.29,6.1,5.26,7.77,2.57,9.05,2.6,5.88
2021-07-02T19:00:00Z,3.62,1.82,6.08,5.7,8.24,3.18,8.63,3.93,6.31
2021-07-02T19:30:00Z,3.84,1.87,6.42,5.94,8.47,3.52,8.75,3.99,6.54
2021-07-02T20:00:00Z,4.01,2.02,6.49,6.25,8.73,3.74,9.86,4.07,6.91
2021-07-02T20:30:00Z,4.07,2.07,6.56,6.25,9.49,3.54,9.96,3.64,6.86
2021-07-02T21:00:00Z,4.34,2.15,6.8,6.74,9.24,3.99,10.25,4.51,7.48
2021-07-02T21:30:00Z,4.24,2.02,6.77,6.51,9.93,3.4,10.34,3.78,7.22
2021-07-02T22:00:00Z,4.3,2.11,7.41,6.64,9.55,3.89,9.91,4.3,7.36
2021-07-02T22:30:00Z,4.38,1.99,7.65,6.75,9.78,3.76,10.54,3.88,7.48
2021-07-02T23:00:00Z,4.08,1.77,6.71,6.41,9.2,3.04,10.34,4.07,7.14
2021-07-02T23:30:00Z,4.29,1.94,7.24,6.65,9.8,3.66,10.11,4.28,7.35
2021-07-03T00:00:00Z,4.45,2.16,7.47,6.92,10.02,3.91,10.81,4.47,7.72
2021-07-03T00:30:00Z,4.54,2.46,7.92,7.06,10.23,3.77,10.42,4.29,7.85
2021-07-03T01:00:00Z,4.64,2.29,7.31,7.21,10.39,4.12,11.17,4.68,8.02
2021-07-03T01:30:00Z,4.52,2.23,7.9,6.98,10.62,3.67,11.09,3.93,7.8
2021-07-03T02:00:00Z,4.47,2,7.03,6.93,10.26,3.5,10.77,4.81,7.71
2021-07-03T02:30:00Z,4.29,2.11,7.61,6.7,9.75,3.19,10.28,4.16,7.45
2021-07-03T03:00:00Z,4.54,2.43,6.8,7,9.88,3.62,10.93,4.48,7.78
2021-07-03T03:30:00Z,4.47,2.44,8.34,6.87,10.86,3.61,11.01,3.91,7.64
2021-07-03T04:00:00Z,4.25,2.06,7.18,6.59,10.08,3.64,11.01,4.26,7.28
2021-07-03T04:30:00Z,4.38,2.17,7.21,6.79,9.84,3.75,10.41,4.58,7.52
2021-07-03T05:00:00Z,4.27,2.29,7.63,6.62,10.1,3.51,10.35,3.55,7.34
2021-07-03T05:30:00Z,4.49,2.43,7.59,7.04,10.25,3.54,11.07,4.56,7.83
2021-07-03T06:00:00Z,4.45,2.38,7.26,6.96,10,3.8,10.61,4.36,7.69
2021-07-03T06:30:00Z,4.61,2.55,7.23,7.17,10.04,3.97,11.14,4.84,7.97
2021-07-03T07:00:00Z,4.45,2.37,7.08,6.89,9.88,3.9,10.5,4.53,7.73
2021-07-03T07:30:00Z,4.35,2.02,7.22,6.71,10.16,3.64,10.95,4.28,7.45
2021-07-03T08:00:00Z,4.28,2.18,6.81,6.6,10.57,2.95,10.84,4.18,7.37
2021-07-03T08:30:00Z,4.54,2.28,7.5,6.99,10.29,3.29,10.76,4.27,7.82
2021-07-03T09:00:00Z,4.07,1.79,6.77,6.21,9.71,3.06,10.55,3.34,6.91
2021-07-03T09:30:00Z,4.08,2.04,6.83,6.29,9.18,3.66,9.89,3.69,7.03
2021-07-03T10:00:00Z,4.08,2.18,6.58,6.26,9.58,3.74,9.92,4.03,6.98
2021-07-03T10:30:00Z,3.86,1.96,6.56,5.83,8.91,2.99,9.69,3.38,6.5
2021-07-03T11:00:00Z,4.1,2.19,6.34,6.19,9.08,3.5,9.89,4.34,6.88
2021-07-03T11:30:00Z,4.06,2.25,6.32,6.29,9,3.43,9.77,4.08,7.04
